S. Domingos,"R$0,00","R$0,00","R$0,00","R$0,00","R$19.452,00","R$41.209,00","R$44.020,00","R$39.268,00","R$31.486,00","R$33.907,00","R$29.484,00","R$29.648,50"
S. Francisco,"R$109.029,00","R$85.686,00","R$107.946,00","R$103.191,00","R$107.349,00","R$102.747,00","R$105.624,00","R$116.397,00","R$99.516,00","R$127.927,00","R$132.576,50","R$140.703,50"
Araribóia,"R$58.436,50","R$127.060,14","R$74.595,50","R$60.641,00","R$73.037,50","R$69.199,50","R$76.790,00","R$74.353,50","R$79.165,00","R$76.797,50","R$77.900,00","R$77.855,00"
Total,"R$952.203,50","R$1.039.866,19","R$1.022.804,50","R$880.977,00","R$978.381,50","R$979.196,00","R$1.080.929,50","R$1.074.268,00","R$1.046.897,00","R$1.144.068,50","R$1.092.557,50","R$1.280.700,30"
2016,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$437.346,00","R$399.828,00","R$507.573,50","R$476.450,00","R$506.201,50","R$511.878,50","R$521.213,00","R$558.852,00","R$546.566,50","R$514.448,00","R$530.824,00","R$660.143,00"
Icaraí,"R$295.225,00","R$259.321,00","R$317.114,00","R$298.718,00","R$316.738,50","R$323.302,00","R$330.347,50","R$339.668,00","R$316.743,00","R$303.583,00","R$298.452,00","R$372.585,50"
Valonguinho,"R$93.334,00","R$108.014,00","R$120.328,00","R$101.584,00","R$109.199,00","R$109.804,00","R$104.109,00","R$157.400,00","R$94.935,00","R$93.310,00","R$94.459,00","R$109.690,00"
S. Domingos,"R$22.603,00","R$20.475,00","R$27.009,50","R$24.678,50","R$26.005,00","R$37.681,00","R$33.715,50","R$47.271,00","R$69.597,50","R$67.154,50","R$49.317,50","R$62.534,50"
S. Francisco,"R$135.250,50","R$113.088,50","R$121.891,00","R$137.809,00","R$134.512,00","R$126.966,00","R$139.664,00","R$133.980,00","R$135.194,50","R$149.793,00","R$161.224,00","R$180.075,00"
Araribóia,"R$70.240,00","R$61.235,00","R$81.205,00","R$74.154,00","R$72.795,00","R$72.860,00","R$72.730,00","R$76.320,00","R$63.190,00","R$60.125,00","R$63.850,00","R$68.315,00"
J. Icaraí,"R$0,00","R$0,00","R$46.987,50","R$73.542,00","R$84.675,50","R$84.493,50","R$84.952,00","R$82.708,50","R$79.506,00","R$82.463,50","R$78.232,00","R$95.616,50"
Itacoatiara,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$89.780,00"
Total,"R$1.053.998,50","R$961.961,50","R$1.222.108,50","R$1.186.935,50","R$1.250.126,50","R$1.266.985,00","R$1.286.731,00","R$1.396.199,50","R$1.305.732,50","R$1.270.877,00","R$1.276.358,50","R$1.638.739,50"
